priority,image,title,targetPrice,specName,itemId,specCount,invitationId,updateDate,modelId,originLink,link1688,category1,category2
P0,,50个装高温杀菌铝箔真空袋/蒸煮袋,5,15厘米 x 20厘米 - 50个，50个,14470732754,1,IVCN2025082950504,02-25,58591759789,http://shopee.com.my/product/285698794/14470732754,https://detail.1688.com/offer/803349580484.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,厨具,铝箔
P0,https://cf.shopee.com.my/file/sg-11134201-7repf-m2t8lvmg55hib2,（现货）尚奈仕加厚铝箔锡盘外卖盒带盖食品级耐高温烧烤蒸烤尚奈仕加厚,20.3,"圆形2000ml（10个装）,带透明盖",29718145625,2,IVCN202602250001,02-25,139145347647,http://shopee.com.my/product/1211613460/29718145625,https://detail.1688.com/offer/858848755131.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A2127a84b17706036717166886e0f30&token=6bRFDF458GCnFpMJYxn6ZWDsQ13STdvdxlaluNTGVG1vJ%2Bh2rodTHj2TXoZ1cq%2FF&tracelog=cps&clickid=417ae912bff7d7ec6addef1ae8b72c4d&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B1D24E0CC14DD2AFC0983A5FA9A5C761CB1331DDC4753847ADEA5DD589B13E2FE9348394BC3CC3C62B9992F8828C4BE8922ACB99143DEB147D0D249D51613B62E846893F1B0135475747D9DE4FC59DE52457AD60D106E5C23D000531DA929DEB1EADB20130E0A6CE418E9739B5974F17B1B7934DED712DC3FB06EA56A4E8257A621370BB2CB627310B%26cbu_cps_trace_flag%3Dwrite,厨具,铝箔
P0,https://cf.shopee.com.my/file/sg-11134201-7reod-m2t8lzoe4rg934,（现货）尚奈仕加厚铝箔锡盘外卖盒带盖食品级耐高温烧烤蒸烤尚奈仕加厚,33.6,"圆形5000ml（10个装）,带透明盖",29718145625,2,IVCN202602250001,02-25,139145347657,http://shopee.com.my/product/1211613460/29718145625,https://detail.1688.com/offer/858848755131.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A2127a84b17706036717166886e0f30&token=6bRFDF458GCnFpMJYxn6ZWDsQ13STdvdxlaluNTGVG1vJ%2Bh2rodTHj2TXoZ1cq%2FF&tracelog=cps&clickid=417ae912bff7d7ec6addef1ae8b72c4d&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B1D24E0CC14DD2AFC0983A5FA9A5C761CB1331DDC4753847ADEA5DD589B13E2FE9348394BC3CC3C62B9992F8828C4BE8922ACB99143DEB147D0D249D51613B62E846893F1B0135475747D9DE4FC59DE52457AD60D106E5C23D000531DA929DEB1EADB20130E0A6CE418E9739B5974F17B1B7934DED712DC3FB06EA56A4E8257A621370BB2CB627310B%26cbu_cps_trace_flag%3Dwrite,厨具,铝箔
P0,https://cf.shopee.ph/file/ph-11134207-7rasc-m6m5sjd46zklcc,50个装甜点长方形铝箔纸杯蛋糕烘焙盒带盖纸杯蛋糕烘焙模具,19,黑金,23565139686,1,IVCN202510152787,02-25,159280037357,http://shopee.ph/product/1374576903/23565139686,https://detail.1688.com/offer/680539939672.html?kj_agent_plugin=aliprice&fromkv=xytTrace:0b51056217604275299812780e0e67&token=6i6MjGKXhw6SmlxtjHR%2Bp9VX4j%2FsTejCek%2FBrdThKzEU1xw0gU%2BO3I37O1lhmolS,厨具,铝箔
P0,https://cf.shopee.com.br/file/br-11134207-81z1k-mh74ql2cbrif64,灶台/水槽/橱柜保护贴 – 铝箔自粘纸，厨房专用，防水，3M/5M,6.5,60厘米*5米，2个,58250703857,1,IVCN202602250003,02-25,159788884034,http://shopee.com.br/product/1648744224/58250703857,https://detail.1688.com/offer/983430224290.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,厨具,铝箔
P0,https://cf.shopee.co.th/file/6f3ee374f06fac872bca22e115343668,SUGA 提供各种尺寸的现货铝箔托盘，每包 30-50 个，适用于空气炸锅。这些食品级、耐热的空气炸锅专用铝箔托盘型号为 SUR203。,6.75,7英寸，50片,20044829822,1,IVCN2025082950446,02-25,174426970941,http://shopee.co.th/product/61340049/20044829822,https://detail.1688.com/offer/951802714606.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i1&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,厨具,铝箔
P0,https://cf.shopee.com.my/file/sg-11134201-7rdy6-lzdn0ghgtkz8d0,100个装小号彩色铝箔自封袋,5,蓝色，7x10厘米，100个,27609084402,1,IVCN202602250005,02-25,176644913083,http://shopee.com.my/product/793883092/27609084402,https://detail.1688.com/offer/614748667177.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i3&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,厨具,铝箔
P0,https://cf.shopee.co.th/file/th-11134207-23020-ry6goylrv9mvb8,🍌 烤盘、锡箔杯、煎锅垫、锡箔托盘、铝箔、不粘锡箔托盘、ZM铝箔托盘,6,7英寸，50张/包。,16992974340,1,IVCN202510154301,02-25,197605339206,http://shopee.co.th/product/382898778/16992974340,https://detail.1688.com/offer/824946631732.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i0&source=action%23offerItem%3Borigin%23shopee.co.th&amug_biz=oneself&amug_fl_src=awakeId_982,厨具,铝箔
P0,,7英寸一次性食品级铝箔托盘，耐热耐油，烹饪用具，50个装，PackPro,6,7英寸，50片,28301213711,1,IVCN202602250007,02-25,240912817211,http://shopee.co.th/product/1235409378/28301213711,https://detail.1688.com/offer/824946631732.html,厨具,铝箔
P0,https://cf.shopee.com.my/file/cn-11134207-820l4-mgdlgot303dace,（12小时内发货）30个装可重复使用铝箔自封保鲜袋，安全密封大容量冷冻袋，带可书写标签，适用于蔬菜/水果/肉类冷藏保鲜袋,3,小号+中号+大号（30件）,52050307104,1,IVCN2026011948705,02-25,385028036564,http://shopee.com.my/product/1032444488/52050307104,https://detail.1688.com/offer/938534409896.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2127a84b17675205739906338e0e8b&token=go1qBYthej7It6bOo4HWjqKByzE0va3jJsinhQVrUuYZK0B2gSD%2FCkdWbOPIr%2Bf%2F,厨具,铝箔
